LOAD DATASET
read csv...ready [31.107 sec] !
Xy convertion...
ready [0.519 sec] !
SPLIT DATASET
ready [2.131 sec]!
train: 64340, 64340, Counter({3: 19180, 1: 17014, 2: 15099, 0: 13047})
eval: 16086, 16086, Counter({3: 4795, 1: 4254, 2: 3775, 0: 3262})
START TRAINING
104:	learn: 0.8904414	test: 0.8447719	best: 0.8447719 (104)	total: 1.93s	remaining: 16.4s
105:	learn: 0.8908455	test: 0.8452070	best: 0.8452070 (105)	total: 1.95s	remaining: 16.4s
106:	learn: 0.8911564	test: 0.8458908	best: 0.8458908 (106)	total: 1.96s	remaining: 16.4s
107:	learn: 0.8919646	test: 0.8452070	best: 0.8458908 (106)	total: 1.98s	remaining: 16.4s
108:	learn: 0.8928349	test: 0.8457043	best: 0.8458908 (106)	total: 2s	remaining: 16.3s
109:	learn: 0.8934411	test: 0.8462017	best: 0.8462017 (109)	total: 2.02s	remaining: 16.3s
110:	learn: 0.8939229	test: 0.8468855	best: 0.8468855 (110)	total: 2.03s	remaining: 16.3s
111:	learn: 0.8942338	test: 0.8463260	best: 0.8468855 (110)	total: 2.05s	remaining: 16.3s
112:	learn: 0.8944514	test: 0.8466368	best: 0.8468855 (110)	total: 2.07s	remaining: 16.2s
113:	learn: 0.8945291	test: 0.8470720	best: 0.8470720 (113)	total: 2.08s	remaining: 16.2s
114:	learn: 0.8950886	test: 0.8468855	best: 0.8470720 (113)	total: 2.1s	remaining: 16.2s
115:	learn: 0.8953994	test: 0.8471342	best: 0.8471342 (115)	total: 2.12s	remaining: 16.1s
116:	learn: 0.8965962	test: 0.8476936	best: 0.8476936 (116)	total: 2.13s	remaining: 16.1s
117:	learn: 0.8970936	test: 0.8480666	best: 0.8480666 (117)	total: 2.15s	remaining: 16.1s
118:	learn: 0.8973267	test: 0.8476936	best: 0.8480666 (117)	total: 2.17s	remaining: 16.1s
119:	learn: 0.8977774	test: 0.8480666	best: 0.8480666 (117)	total: 2.19s	remaining: 16s
120:	learn: 0.8983836	test: 0.8478180	best: 0.8480666 (117)	total: 2.2s	remaining: 16s
121:	learn: 0.8990675	test: 0.8478180	best: 0.8480666 (117)	total: 2.22s	remaining: 16s
122:	learn: 0.8992540	test: 0.8478801	best: 0.8480666 (117)	total: 2.24s	remaining: 16s
123:	learn: 0.8997202	test: 0.8480045	best: 0.8480666 (117)	total: 2.26s	remaining: 16s
124:	learn: 0.8996425	test: 0.8480045	best: 0.8480666 (117)	total: 2.27s	remaining: 15.9s
125:	learn: 0.9000933	test: 0.8480045	best: 0.8480666 (117)	total: 2.29s	remaining: 15.9s
126:	learn: 0.9006217	test: 0.8480666	best: 0.8480666 (117)	total: 2.31s	remaining: 15.9s
